架次编号,无人机编号,电池编号,事件序号,阶段,开始时刻（s）,结束时刻（s）,起点,终点,服务区编号
Q2-001,U07,C-BAT-01,1,准备,0.0,300.0,,,
Q2-001,U07,C-BAT-01,2,装载,300.0,510.0,,,
Q2-001,U07,C-BAT-01,3,飞行,510.0,816.2695390882459,O01,S001,
Q2-001,U07,C-BAT-01,4,交接,816.2695390882459,1248.269539088246,,,S001
Q2-001,U07,C-BAT-01,5,飞行,1248.269539088246,1560.169078176492,S001,O01,
Q2-002,U05,B-BAT-01,1,准备,0.0,300.0,,,
Q2-002,U05,B-BAT-01,2,装载,300.0,390.0,,,
Q2-002,U05,B-BAT-01,3,飞行,390.0,1041.4123903129507,O01,S012,
Q2-002,U05,B-BAT-01,4,交接,1041.4123903129507,1281.4123903129507,,,S012
Q2-002,U05,B-BAT-01,5,飞行,1281.4123903129507,1942.9647806259015,S012,O01,
Q2-003,U06,B-BAT-02,1,准备,0.0,300.0,,,
Q2-003,U06,B-BAT-02,2,装载,300.0,390.0,,,
Q2-003,U06,B-BAT-02,3,飞行,390.0,818.0541710342939,O01,S013,
Q2-003,U06,B-BAT-02,4,交接,818.0541710342939,1058.0541710342939,,,S013
Q2-003,U06,B-BAT-02,5,飞行,1058.0541710342939,1501.041675401921,S013,O01,
Q2-004,U08,C-BAT-02,1,准备,0.0,300.0,,,
Q2-004,U08,C-BAT-02,2,装载,300.0,450.0,,,
Q2-004,U08,C-BAT-02,3,飞行,450.0,978.6148010186483,O01,S007,
Q2-004,U08,C-BAT-02,4,交接,978.6148010186483,1338.6148010186484,,,S007
Q2-004,U08,C-BAT-02,5,飞行,1338.6148010186484,1889.3096020372968,S007,O01,
Q2-005,U06,B-BAT-03,1,准备,1501.041675401921,1801.041675401921,,,
Q2-005,U06,B-BAT-03,2,装载,1801.041675401921,1891.041675401921,,,
Q2-005,U06,B-BAT-03,3,飞行,1891.041675401921,2346.2681268577226,O01,S010,
Q2-005,U06,B-BAT-03,4,交接,2346.2681268577226,2586.2681268577226,,,S010
Q2-005,U06,B-BAT-03,5,飞行,2586.2681268577226,3056.4212449801907,S010,O01,
Q2-006,U07,C-BAT-03,1,准备,1560.169078176492,1860.169078176492,,,
Q2-006,U07,C-BAT-03,2,装载,1860.169078176492,1980.169078176492,,,
Q2-006,U07,C-BAT-03,3,飞行,1980.169078176492,2593.5227178375453,O01,S002,
Q2-006,U07,C-BAT-03,4,交接,2593.5227178375453,2917.5227178375453,,,S002
Q2-006,U07,C-BAT-03,5,飞行,2917.5227178375453,3540.0563574985986,S002,O01,
Q2-007,U01,A-BAT-01,1,准备,0.0,300.0,,,
Q2-007,U01,A-BAT-01,2,装载,300.0,360.0,,,
Q2-007,U01,A-BAT-01,3,飞行,360.0,1075.4691354527813,O01,S002,
Q2-007,U01,A-BAT-01,4,交接,1075.4691354527813,1285.4691354527813,,,S002
Q2-007,U01,A-BAT-01,5,飞行,1285.4691354527813,2007.0582709055627,S002,O01,
Q2-008,U05,B-BAT-04,1,准备,1942.9647806259015,2242.9647806259018,,,
Q2-008,U05,B-BAT-04,2,装载,2242.9647806259018,2332.9647806259018,,,
Q2-008,U05,B-BAT-04,3,飞行,2332.9647806259018,2933.3703769008666,O01,S014,
Q2-008,U05,B-BAT-04,4,交接,2933.3703769008666,3173.3703769008666,,,S014
Q2-008,U05,B-BAT-04,5,飞行,3173.3703769008666,3788.662639842498,S014,O01,
Q2-009,U02,A-BAT-02,1,准备,0.0,300.0,,,
Q2-009,U02,A-BAT-02,2,装载,300.0,330.0,,,
Q2-009,U02,A-BAT-02,3,飞行,330.0,668.5730849015672,O01,S001,
Q2-009,U02,A-BAT-02,4,交接,668.5730849015672,848.5730849015672,,,S001
Q2-009,U02,A-BAT-02,5,飞行,848.5730849015672,1190.8995031364677,S001,O01,
Q2-010,U08,C-BAT-04,1,准备,1889.3096020372968,2189.309602037297,,,
Q2-010,U08,C-BAT-04,2,装载,2189.309602037297,2369.309602037297,,,
Q2-010,U08,C-BAT-04,3,飞行,2369.309602037297,2704.817428141641,O01,S006,
Q2-010,U08,C-BAT-04,4,交接,2704.817428141641,3100.817428141641,,,S006
